names,lunknown,runknown,lbankssts,rbankssts,lcaudalanteriorcingulate,rcaudalanteriorcingulate,lcaudalmiddlefrontal,rcaudalmiddlefrontal,lcorpuscallosum,rcorpuscallosum,lcuneus,rcuneus,lentorhinal,rentorhinal,lfusiform,rfusiform,linferiorparietal,rinferiorparietal,linferiortemporal,rinferiortemporal,listhmuscingulate,risthmuscingulate,llateraloccipital,rlateraloccipital,llateralorbitofrontal,rlateralorbitofrontal,llingual,rlingual,lmedialorbitofrontal,rmedialorbitofrontal,lmiddletemporal,rmiddletemporal,lparahippocampal,rparahippocampal,lparacentral,rparacentral,lparsopercularis,rparsopercularis,lparsorbitalis,rparsorbitalis,lparstriangularis,rparstriangularis,lpericalcarine,rpericalcarine,lpostcentral,rpostcentral,lposteriorcingulate,rposteriorcingulate,lprecentral,rprecentral,lprecuneus,rprecuneus,lrostralanteriorcingulate,rrostralanteriorcingulate,lrostralmiddlefrontal,rrostralmiddlefrontal,lsuperiorfrontal,rsuperiorfrontal,lsuperiorparietal,rsuperiorparietal,lsuperiortemporal,rsuperiortemporal,lsupramarginal,rsupramarginal,lfrontalpole,rfrontalpole,ltemporalpole,rtemporalpole,ltransversetemporal,rtransversetemporal,linsula,rinsula
G3_F_01_T1,2.0747,NaN,2.6280,2.6963,2.4282,2.7660,2.7721,2.7411,NaN,NaN,2.0004,1.8787,3.8441,3.8382,2.7913,2.7670,2.6165,2.6339,2.8433,2.9897,2.3052,2.0886,2.2422,2.2208,2.8036,2.7456,2.0767,2.1053,2.2086,2.5399,2.8127,2.9096,2.5401,2.6953,2.4734,2.5241,2.9362,2.8428,2.7996,2.6551,2.7161,2.7540,1.8183,1.8083,2.1651,2.1817,2.6295,2.4605,2.4791,2.3400,2.6297,2.5730,2.3736,2.7405,2.5305,2.6215,2.9399,2.9791,2.3639,2.3814,2.8574,2.9441,2.6656,2.7023,2.6226,2.6022,3.8832,4.0945,2.5092,2.3287,3.0640,3.2061
G3_F_02_T1,2.4563,NaN,2.7344,2.7884,2.6396,2.1937,2.6874,2.7192,NaN,NaN,2.1154,2.0305,3.8834,3.6574,2.7316,2.7808,2.5739,2.5784,2.8712,2.8234,2.4329,2.2546,2.2962,2.2518,2.6732,2.7260,2.1934,2.1694,2.3926,2.2848,2.9050,3.0440,2.5329,2.7795,2.4999,2.4699,2.6908,2.7209,2.6950,2.7876,2.5898,2.6424,1.9876,2.1226,2.2842,2.2301,2.3771,2.4349,2.6018,2.5287,2.5357,2.5582,2.7182,2.6122,2.5741,2.5076,2.8866,2.8502,2.3585,2.4083,2.8215,3.0801,2.6676,2.5934,2.7767,2.5656,4.0055,4.1797,2.5886,2.5464,3.1914,3.3156
G3_F_04_T1,2.0692,NaN,2.3370,2.5557,2.6171,2.3134,2.4745,2.4894,NaN,NaN,1.9240,1.8758,3.7335,4.0764,2.4913,2.3213,2.3083,2.3167,2.5247,2.6419,2.3350,2.1273,2.0505,2.0958,2.5538,2.5042,2.0353,2.0882,2.1193,2.3591,2.6411,2.7170,2.0637,2.3716,2.0722,2.0808,2.4984,2.4894,2.8239,2.6046,2.4405,2.3972,1.8060,1.7694,1.9036,1.8633,2.4757,2.2080,2.1138,1.9999,2.3122,2.3339,2.3565,2.4316,2.3175,2.4169,2.6760,2.6491,2.1366,2.1999,2.6230,2.7299,2.4284,2.4383,2.5382,2.3528,3.6697,3.8700,2.0553,2.1304,3.1304,3.0672
G3_F_05_T1,1.9997,NaN,2.3939,2.4642,2.4548,2.3990,2.4161,2.3761,NaN,NaN,2.0290,2.0318,3.4985,3.7801,2.6315,2.5481,2.4367,2.4107,2.7253,2.6861,2.4043,2.4166,2.1315,2.0874,2.7331,2.6853,2.1352,2.0826,2.3461,2.4419,2.7240,2.7615,2.3687,2.4400,2.3685,2.3319,2.5283,2.4302,2.6129,2.5652,2.4992,2.5173,1.7691,1.8523,1.9667,2.0777,2.3362,2.2295,2.2960,2.2644,2.3936,2.3850,2.5446,2.6744,2.2666,2.2285,2.5311,2.5524,2.2282,2.2006,2.7195,2.8139,2.4561,2.4629,2.4429,2.3969,3.5663,3.6477,2.3088,2.2801,3.0805,3.0466
G3_F_07_T1,2.1088,NaN,2.6595,2.8114,2.7200,2.6090,2.6690,2.5294,NaN,NaN,2.1333,2.1093,3.3291,4.0935,2.7591,2.6337,2.5854,2.5858,2.6837,2.8015,2.3414,2.3312,2.2231,2.2601,2.8568,2.8482,1.9865,2.0210,2.1527,2.4760,2.7428,2.9416,2.3798,2.5129,2.2747,2.3244,2.6561,2.6864,2.7095,2.8604,2.5290,2.6210,1.9334,1.9014,2.1162,2.1911,2.4003,2.4411,2.3298,2.2835,2.5233,2.4684,2.4789,2.7211,2.4873,2.5185,2.6892,2.6876,2.3139,2.3360,2.8571,2.9111,2.6066,2.4931,2.7252,2.6602,4.1620,4.0888,2.2640,2.1631,3.2105,3.4198
G3_F_08_T1,1.7690,NaN,2.3909,2.4806,2.2693,2.4177,2.4944,2.4484,NaN,NaN,1.7970,1.8053,3.1859,3.4438,2.3881,2.4786,2.4153,2.4483,2.6150,2.6785,2.4202,2.3762,2.0385,2.1057,2.7379,2.7128,2.0399,1.9288,2.2153,2.3925,2.7933,2.7526,2.4931,2.5685,2.1656,2.3077,2.4946,2.4164,2.6092,2.5624,2.4504,2.3952,1.5156,1.4693,1.9449,1.8658,2.2381,2.2833,2.2461,2.0950,2.3436,2.3359,2.5027,2.6304,2.2885,2.2837,2.6067,2.6529,2.2150,2.2209,2.6771,2.7283,2.3982,2.3526,2.5119,2.5273,3.9158,4.1992,2.1997,2.2160,3.1563,3.1641
G3_F_09_T1,2.0907,NaN,2.7183,2.5586,2.4228,2.3327,2.6674,2.6644,NaN,NaN,2.1025,1.9807,3.6181,3.2900,2.5649,2.4592,2.5150,2.5244,2.6655,2.6813,2.2996,2.1118,2.2990,2.1902,2.7374,2.8982,2.0782,2.0847,2.4659,2.4397,2.8472,2.8568,2.3321,2.5367,2.4630,2.5972,2.6563,2.6122,2.7123,2.7284,2.4743,2.4922,1.9057,1.9370,2.1806,2.1512,2.4105,2.3586,2.4416,2.4421,2.4343,2.4100,2.4803,2.6048,2.5284,2.5320,2.8762,2.8275,2.3233,2.3717,2.7259,2.7028,2.5774,2.5779,2.6063,2.6113,4.1021,3.6782,2.3212,2.3243,3.0028,2.9716
G3_F_10_T1,1.5289,NaN,2.5417,2.6686,2.6649,2.3492,2.5558,2.5203,NaN,NaN,2.0095,1.8753,3.6785,3.5911,2.4662,2.5883,2.4989,2.4656,2.5735,2.5447,2.4046,2.3242,2.1270,2.0662,2.5995,2.5567,2.2062,2.0998,2.2683,2.3427,2.8517,2.7963,2.5355,2.5960,2.3256,2.3390,2.6168,2.5257,2.6128,2.6031,2.5164,2.4513,1.8447,1.6757,2.1096,2.0172,2.4262,2.4114,2.3175,2.2796,2.3391,2.3484,2.6285,2.4141,2.4101,2.4066,2.6819,2.6766,2.1737,2.1717,2.8534,2.7967,2.4832,2.4555,2.4318,2.4648,3.3508,3.4968,2.3717,2.3379,3.1888,2.9483
G3_F_11_T1,1.8693,NaN,2.3776,2.5012,2.4022,2.3947,2.5534,2.5484,NaN,NaN,2.0085,2.0859,3.8035,3.8892,2.4632,2.5992,2.4934,2.4534,2.8017,2.7254,2.1766,2.2622,2.2397,2.2708,2.6524,2.5740,2.0755,2.0133,2.3313,2.4299,2.7496,2.8229,2.2064,2.2288,2.2597,2.3855,2.5507,2.5420,2.5989,2.5321,2.4854,2.3602,1.9189,1.8087,2.1903,2.1504,2.3454,2.3404,2.3289,2.3289,2.4119,2.4360,2.7952,2.5851,2.4557,2.3855,2.6907,2.6790,2.2571,2.2843,2.7716,2.8888,2.4260,2.5038,2.5486,2.6983,4.0094,3.7242,2.3721,2.5436,3.1527,3.0693
G3_F_12_T1,1.4687,NaN,2.4642,2.5880,2.3979,2.2784,2.5234,2.5520,NaN,NaN,1.9764,1.9752,3.3928,3.2139,2.4348,2.4227,2.4106,2.4225,2.4859,2.5495,2.3300,2.3594,2.1766,2.0915,2.6269,2.5796,2.0975,2.0949,2.2595,2.3452,2.7200,2.7455,2.4714,2.3787,2.3243,2.4273,2.6061,2.6048,2.7146,2.5736,2.4776,2.4350,1.6895,1.7606,2.0666,2.0242,2.3385,2.3406,2.3410,2.2840,2.3586,2.3526,2.6512,2.6482,2.4004,2.3602,2.7238,2.6997,2.1917,2.2006,2.7144,2.7727,2.4502,2.4099,2.6421,2.4401,3.3497,3.9901,2.3114,2.2672,3.1436,3.1590
G3_F_13_T1,2.0651,NaN,2.4481,2.4654,2.7408,2.3806,2.4476,2.4744,NaN,NaN,1.7997,1.8805,3.5508,3.3311,2.5253,2.5279,2.4256,2.4263,2.5679,2.7805,2.1765,2.0763,2.1267,2.0552,2.6654,2.6389,1.8836,1.8699,2.2800,2.3695,2.6261,2.6031,2.5785,2.6427,2.2362,2.2147,2.5568,2.5833,2.4761,2.5391,2.4093,2.3743,1.4877,1.6370,1.9797,1.9458,2.3884,2.4321,2.2562,2.2447,2.1981,2.2424,2.5569,2.5293,2.3059,2.3384,2.5690,2.5308,2.1355,2.1519,2.5945,2.6678,2.4067,2.3791,2.3613,2.3504,3.7137,3.9911,2.1076,2.0983,3.0313,3.2009
