names,lStriatum,lGloPal,lTha,lAntCerebLI_II,lAntCerebLIII,lAntCerebLIV,lAntCerebLV,lSupPostCerebLVI,lSupPostCerebCI,lSupPostCerebCII,lSupPostCerebLVIIB,lInfPostCerebLVIIIA,lInfPostCerebLVIIIB,lInfPostCerebLIX,lInfPostCerebLX,lAntCerebWM,lAmy,lHCA1,lSub,lFor,lCA4,lCA2_3,lStratum,lFimbra,lMamBody,lAlveus,rStriatum,rGloPal,rTha,rAntCerebLI_II,rAntCerebLIII,rAntCerebLIV,rAntCerebLV,rSupPostCerebLVI,rSupPostCerebCI,rSupPostCerebCII,rSupPostCerebLVIIB,rInfPostCerebLVIIIA,rInfPostCerebLVIIIB,rInfPostCerebLIX,rInfPostCerebLX,rAntCerebWM,rAmy,rHCA1,rSub,rFor,rCA4,rCA2_3,rStratum,rFimbra,rMamBody,rAlveus
G3_F_01_T1,6.7921,0.0963,3.6271,0.0440,0.5571,1.4813,2.8646,5.8225,8.8459,5.9777,3.1281,3.9742,2.5271,2.4538,0.4637,0.6652,1.2350,0.7663,0.2392,0.1256,0.6412,0.1176,0.5065,0.0697,0.0155,0.3156,7.1937,0.1268,4.0114,0.0839,0.6728,1.1986,2.6273,5.9928,8.5843,6.0239,3.3559,3.1242,2.3623,2.3462,0.4367,0.6209,1.2533,0.7777,0.2688,0.0896,0.6245,0.1468,0.4650,0.0524,0.0138,0.3006
G3_F_02_T1,7.3144,0.1454,3.4641,0.0573,0.5684,1.5806,2.8980,5.8730,7.3257,6.1581,3.2266,3.7159,2.2638,2.3497,0.5094,0.4637,1.1924,0.7954,0.2763,0.0714,0.6750,0.1207,0.5259,0.0621,0.0107,0.3279,7.4804,0.3219,3.4971,0.0731,0.5935,1.2119,2.9774,6.6709,7.8467,6.1462,3.3874,2.9398,2.0673,1.9689,0.4428,0.4815,1.1984,0.8819,0.2570,0.1009,0.6827,0.1488,0.4877,0.0563,0.0179,0.3346
G3_F_04_T1,6.1297,0.0482,4.2286,0.0445,0.5229,1.5286,2.8928,6.0161,8.5519,5.5729,3.1988,4.0575,2.2942,2.0981,0.4501,0.5192,1.1339,0.6147,0.2783,0.0839,0.5494,0.0955,0.4342,0.0350,0.0072,0.2686,6.3372,0.0694,4.3764,0.0782,0.6642,1.4204,3.0546,6.5216,8.7192,6.1254,3.4341,3.0817,2.2020,2.0987,0.4916,0.6043,1.1265,0.8166,0.2272,0.1371,0.6858,0.1494,0.4747,0.0621,0.0123,0.3161
G3_F_05_T1,6.6969,0.1010,3.4863,0.0532,0.5610,1.7480,3.2951,6.3229,10.1007,6.9873,3.4865,4.3144,2.4143,2.5491,0.4521,0.5188,1.1248,0.7008,0.2899,0.0963,0.6064,0.1028,0.4904,0.0510,0.0242,0.2716,7.0248,0.1309,3.5699,0.0854,0.7002,1.4353,3.1534,7.0787,10.5479,7.5054,4.0183,3.4606,2.4642,2.5092,0.4719,0.5477,1.1428,0.8210,0.2914,0.1277,0.6054,0.1335,0.4694,0.0536,0.0239,0.2811
G3_F_07_T1,7.2383,0.0694,3.9978,0.0440,0.6576,1.8481,3.3443,5.7840,8.9359,6.6415,3.9261,4.7180,2.9633,2.7723,0.5082,0.4984,1.1102,0.6896,0.2523,0.0998,0.5938,0.1053,0.4375,0.0411,0.0138,0.3093,7.6044,0.1139,4.2303,0.0825,0.7577,1.6662,3.2081,6.6397,9.6056,7.5404,4.2585,3.7379,2.7969,2.6413,0.4975,0.5453,1.1979,0.7471,0.2547,0.0976,0.5915,0.1404,0.4483,0.0566,0.0136,0.2643
G3_F_08_T1,7.5686,0.1055,3.0473,0.0560,0.5730,1.6606,2.9368,5.9732,9.6874,6.0233,3.0608,3.8686,2.4097,2.3809,0.5402,0.5155,1.1365,0.7268,0.2442,0.1175,0.5701,0.1064,0.4389,0.0519,0.0139,0.3004,8.0788,0.0853,2.9928,0.0858,0.6608,1.4645,2.8463,6.3431,9.5924,6.3893,3.5832,3.2248,2.3668,2.2144,0.5624,0.5932,1.1646,0.7730,0.2345,0.1070,0.5373,0.1147,0.4283,0.0358,0.0187,0.2511
G3_F_09_T1,8.1852,0.1179,3.9964,0.0542,0.4844,1.5606,2.6070,4.7351,8.9346,5.3310,2.6558,3.5207,1.9100,1.9023,0.4645,0.4854,1.1909,0.7111,0.2703,0.0806,0.6086,0.1073,0.4895,0.0334,0.0204,0.2918,8.4104,0.1490,3.9830,0.0879,0.6197,1.2641,2.4966,5.7262,9.0006,5.4609,2.9885,2.7791,1.7481,1.8433,0.4309,0.4625,1.1975,0.8018,0.2798,0.0841,0.6505,0.1385,0.4662,0.0379,0.0226,0.2745
G3_F_10_T1,7.9182,0.1621,3.8068,0.0480,0.5794,1.7516,2.9976,5.7166,9.0401,5.3224,3.2099,3.9857,2.3003,2.2117,0.4452,0.4141,1.2673,0.7532,0.2725,0.1089,0.6241,0.1066,0.5092,0.0346,0.0145,0.3088,8.0324,0.1994,3.9200,0.0882,0.6495,1.4320,2.9961,6.1287,9.3258,6.1513,3.5627,3.1957,2.2028,2.1497,0.4194,0.5049,1.2391,0.8286,0.2644,0.1139,0.6050,0.1367,0.4692,0.0534,0.0151,0.2853
G3_F_11_T1,8.2516,0.1357,3.9574,0.0543,0.5657,1.4585,2.9914,5.8434,8.1486,6.2898,3.7303,4.5373,2.5679,2.5287,0.5140,0.4596,1.2398,0.7566,0.2749,0.1187,0.6534,0.1250,0.5103,0.0339,0.0123,0.3357,8.5929,0.1622,3.9970,0.0736,0.6218,1.2805,2.9795,6.4716,8.2598,6.6279,3.7401,3.2552,2.5159,2.6449,0.5071,0.5305,1.1724,0.7705,0.2677,0.1185,0.6362,0.1414,0.4644,0.0401,0.0165,0.2825
G3_F_12_T1,6.6091,0.1100,3.5263,0.0425,0.4276,1.1898,2.5338,5.4745,8.2094,4.8097,2.4286,3.2853,1.9060,1.9098,0.4138,0.3971,1.1431,0.7104,0.2434,0.0813,0.6005,0.1054,0.4746,0.0438,0.0106,0.3071,6.9700,0.1139,3.5536,0.0581,0.5033,1.0809,2.6214,5.8659,8.8821,5.5669,2.8518,2.5735,1.7359,1.8044,0.4511,0.3702,1.1442,0.7872,0.2438,0.1057,0.6180,0.1410,0.4518,0.0538,0.0101,0.2903
