names,lStriatum,lGloPal,lTha,lAntCerebLI_II,lAntCerebLIII,lAntCerebLIV,lAntCerebLV,lSupPostCerebLVI,lSupPostCerebCI,lSupPostCerebCII,lSupPostCerebLVIIB,lInfPostCerebLVIIIA,lInfPostCerebLVIIIB,lInfPostCerebLIX,lInfPostCerebLX,lAntCerebWM,lAmy,lHCA1,lSub,lFor,lCA4,lCA2_3,lStratum,lFimbra,lMamBody,lAlveus,rStriatum,rGloPal,rTha,rAntCerebLI_II,rAntCerebLIII,rAntCerebLIV,rAntCerebLV,rSupPostCerebLVI,rSupPostCerebCI,rSupPostCerebCII,rSupPostCerebLVIIB,rInfPostCerebLVIIIA,rInfPostCerebLVIIIB,rInfPostCerebLIX,rInfPostCerebLX,rAntCerebWM,rAmy,rHCA1,rSub,rFor,rCA4,rCA2_3,rStratum,rFimbra,rMamBody,rAlveus
G3_F_01_T1,0.9766,1.2267,1.4101,0.0209,0.2131,0.3996,0.7107,1.1001,2.1748,0.9610,0.5005,0.6103,0.7255,1.0800,0.0786,5.9468,0.0025,0.0393,0.0388,0.2367,0.0115,0.0034,0.0025,0.0256,0.0196,0.0163,0.9747,1.0842,1.1720,0.0194,0.2123,0.4006,0.7028,1.4541,2.1511,0.8823,0.3064,0.6447,0.8132,1.0494,0.1323,5.9770,0.0033,0.0423,0.0182,0.2481,0.0006,0.0035,0,0.0251,0.0177,0.0087
G3_F_02_T1,0.8707,1.2396,1.3879,0.0113,0.1128,0.4208,0.6142,1.2040,1.7458,1.2496,0.6267,1.0659,0.7918,0.9039,0.0339,6.5508,0.0138,0.0389,0.0247,0.2997,0.0045,0.0033,0.0030,0.0434,0.0234,0.0060,0.9319,1.0091,1.4183,0.0159,0.1747,0.4140,0.5504,1.3278,2.1598,1.2904,0.6376,0.8033,0.5609,0.8953,0.0984,6.6176,0.0065,0.0296,0.0220,0.2607,0.0022,0.0072,0.0013,0.0304,0.0166,0.0113
G3_F_04_T1,1.2172,1.3548,1.5353,0.0120,0.2473,0.5259,0.8862,1.6531,1.9933,0.9547,0.5695,0.9347,0.7916,1.1708,0.0866,6.9476,0.0043,0.1139,0.0227,0.2584,0.0287,0.0066,0.0175,0.0551,0.0151,0.0380,1.2829,1.2276,1.5749,0.0315,0.2893,0.4801,0.9195,1.7609,1.7916,0.9241,0.6175,0.7241,0.7125,1.1806,0.0954,7.0940,0.0049,0.0525,0.0514,0.2928,0.0022,0.0072,0.0094,0.0238,0.0148,0.0247
G3_F_05_T1,1.0001,1.2910,1.6078,0.0092,0.2323,0.6237,0.8837,1.6678,2.5779,1.1289,0.7460,0.8623,1.2697,0.8600,0.1348,7.6866,0.0045,0.0873,0.0381,0.2459,0.0086,0.0061,0.0057,0.0490,0.0079,0.0035,1.0323,1.1641,1.5263,0.0143,0.2765,0.4906,1.0044,1.6778,2.7125,1.2816,0.6706,0.7956,0.9312,0.8616,0.1387,7.8289,0.0036,0.0585,0.0223,0.2774,0.0020,0.0109,0.0037,0.0281,0.0102,0.0181
G3_F_07_T1,0.9750,1.2856,1.3454,0.0111,0.1807,0.5437,0.7306,0.9089,1.8283,1.4629,0.5656,0.8642,0.8654,0.6737,0.0964,6.9980,0.0104,0.0591,0.0217,0.3147,0.0086,0.0027,0.0003,0.0469,0.0173,0.0117,1.0027,1.1671,1.2514,0.0182,0.2115,0.3531,0.7287,0.9936,1.8855,1.2455,0.5305,0.5573,0.7270,0.7967,0.1091,7.1882,0.0068,0.0881,0.0233,0.2624,0.0024,0.0056,0.0026,0.0374,0.0180,0.0215
G3_F_08_T1,0.9415,1.3465,1.8951,0.0042,0.2298,0.5174,0.8501,1.5261,2.4790,1.2040,0.5961,1.0141,0.8520,0.9916,0.0457,6.7590,0.0042,0.0487,0.0314,0.2622,0.0170,0.0026,0,0.0498,0.0221,0.0072,0.8570,1.2577,1.9638,0.0118,0.2486,0.4024,0.8715,1.6720,2.7279,1.2087,0.5197,0.8385,0.7439,0.9224,0.0575,6.9276,0.0042,0.0397,0.0215,0.2980,0.0103,0.0086,0,0.0399,0.0155,0.0063
G3_F_09_T1,0.9378,1.3971,1.5089,0.0112,0.3020,0.4725,0.9478,1.2195,2.5770,1.1167,0.6937,0.8969,0.9970,0.9593,0.0563,7.0068,0.0067,0.0600,0.0267,0.3445,0.0064,0.0067,0.0008,0.0606,0.0181,0.0359,1.0269,1.2500,1.4341,0.0181,0.3386,0.4870,0.9042,1.4699,2.7729,1.3354,0.5956,0.9023,0.9180,0.9633,0.0768,7.3054,0.0091,0.0566,0.0202,0.3485,0.0030,0.0162,0.0013,0.0511,0.0164,0.0269
G3_F_10_T1,0.8642,1.2059,1.5561,0.0076,0.1925,0.5660,0.7813,0.9403,2.2777,1.0155,0.4950,0.8511,0.6370,0.6457,0.0410,6.1407,0.0198,0.0939,0.0415,0.3160,0.0070,0.0082,0.0022,0.0594,0.0220,0.0185,0.8630,1.0356,1.4410,0.0247,0.2485,0.5020,0.8383,1.1777,2.3788,1.1415,0.4738,0.7986,0.6826,0.7155,0.0866,6.1582,0.0066,0.0619,0.0206,0.2863,0.0017,0.0020,0.0034,0.0276,0.0212,0.0100
G3_F_11_T1,1.2720,1.5313,1.9107,0.0046,0.1858,0.5104,0.6736,1.1942,1.8585,1.5787,0.8114,0.9664,0.9532,1.0413,0.0778,7.4748,0.0102,0.0952,0.0341,0.2708,0.0100,0.0100,0.0037,0.0551,0.0223,0.0179,1.2882,1.3418,1.8873,0.0145,0.2833,0.4398,0.6560,1.1896,2.2782,1.5665,0.5894,0.8891,0.9411,1.1043,0.1045,7.4878,0.0125,0.1003,0.0213,0.2396,0.0019,0.0056,0.0008,0.0319,0.0211,0.0136
G3_F_12_T1,0.8981,1.2005,1.4007,0.0042,0.1579,0.3690,0.5918,1.2359,1.8759,0.6346,0.4403,0.6209,0.7876,0.7349,0.0812,5.9577,0.0017,0.0467,0.0266,0.2633,0.0075,0.0076,0.0004,0.0452,0.0187,0.0101,0.8726,1.1051,1.3142,0.0096,0.1962,0.2815,0.5631,1.2370,2.0832,0.6709,0.4044,0.6585,0.7537,0.7619,0.0880,6.2387,0.0002,0.0484,0.0192,0.2354,0.0022,0.0070,0.0008,0.0302,0.0229,0.0083
